"index,Date,Value,Sentiment,BTC_Closing,BTC_Volume,Sentiment_Group"
"1066,2021-01-02,94.0,Extreme Greed,32127.267578125,67865420765,Greed"
"1067,2021-01-03,93.0,Extreme Greed,32782.0234375,78665235202,Greed"
"1068,2021-01-04,94.0,Extreme Greed,31971.9140625,81163475344,Greed"
"1069,2021-01-05,93.0,Extreme Greed,33992.4296875,67547324782,Greed"
"1070,2021-01-06,95.0,Extreme Greed,36824.36328125,75289433811,Greed"
"1071,2021-01-07,91.0,Extreme Greed,39371.04296875,84762141031,Greed"
"1072,2021-01-08,93.0,Extreme Greed,40797.609375,88107519480,Greed"
"1073,2021-01-09,93.0,Extreme Greed,40254.546875,61984162837,Greed"
"1074,2021-01-10,94.0,Extreme Greed,38356.44140625,79980747690,Greed"
"1075,2021-01-11,90.0,Extreme Greed,35566.65625,123320567399,Greed"
"1076,2021-01-12,84.0,Extreme Greed,33922.9609375,74773277909,Greed"
"1077,2021-01-13,78.0,Extreme Greed,37316.359375,69364315979,Greed"
"1078,2021-01-14,83.0,Extreme Greed,39187.328125,63615990033,Greed"
"1079,2021-01-15,88.0,Extreme Greed,36825.3671875,67760757881,Greed"
"1080,2021-01-16,84.0,Extreme Greed,36178.140625,57706187875,Greed"
"1081,2021-01-17,79.0,Extreme Greed,35791.27734375,52359854336,Greed"
"1082,2021-01-18,79.0,Extreme Greed,36630.07421875,49511702429,Greed"
"1083,2021-01-19,80.0,Extreme Greed,36069.8046875,57244195486,Greed"
"1084,2021-01-20,78.0,Extreme Greed,35547.75,66834573161,Greed"
"1085,2021-01-21,75.0,Greed,30825.69921875,75643067688,Greed"
"1086,2021-01-22,40.0,Fear,33005.76171875,77207272511,Fear"
"1087,2021-01-23,74.0,Greed,32067.642578125,48354737975,Greed"
"1088,2021-01-24,70.0,Greed,32289.37890625,48643830599,Greed"
"1089,2021-01-25,74.0,Greed,32366.392578125,59897054838,Greed"
"1090,2021-01-26,71.0,Greed,32569.849609375,60255421470,Greed"
"1091,2021-01-27,78.0,Extreme Greed,30432.546875,62576762015,Greed"
"1092,2021-01-28,55.0,Greed,33466.09765625,76517157706,Greed"
"1093,2021-01-29,77.0,Extreme Greed,34316.38671875,117894572511,Greed"
"1094,2021-01-30,76.0,Extreme Greed,34269.5234375,65141828798,Greed"
"1095,2021-01-31,78.0,Extreme Greed,33114.359375,52754542671,Greed"
"1096,2021-02-01,77.0,Extreme Greed,33537.17578125,61400400660,Greed"
"1097,2021-02-02,76.0,Extreme Greed,35510.2890625,63088585433,Greed"
"1098,2021-02-03,78.0,Extreme Greed,37472.08984375,61166818159,Greed"
"1099,2021-02-04,80.0,Extreme Greed,36926.06640625,68838074392,Greed"
"1100,2021-02-05,81.0,Extreme Greed,38144.30859375,58598066402,Greed"
"1101,2021-02-06,84.0,Extreme Greed,39266.01171875,71326033653,Greed"
"1102,2021-02-07,86.0,Extreme Greed,38903.44140625,65500641143,Greed"
"1103,2021-02-08,83.0,Extreme Greed,46196.46484375,101467222687,Greed"
"1104,2021-02-09,95.0,Extreme Greed,46481.10546875,91809846886,Greed"
"1105,2021-02-10,92.0,Extreme Greed,44918.18359375,87301089896,Greed"
"1106,2021-02-11,93.0,Extreme Greed,47909.33203125,81388911810,Greed"
"1107,2021-02-12,92.0,Extreme Greed,47504.8515625,76555041196,Greed"
"1108,2021-02-13,92.0,Extreme Greed,47105.515625,70250456155,Greed"
"1109,2021-02-14,95.0,Extreme Greed,48717.2890625,71248675228,Greed"
"1110,2021-02-15,93.0,Extreme Greed,47945.05859375,77069903166,Greed"
"1111,2021-02-16,95.0,Extreme Greed,49199.87109375,77049582886,Greed"
"1112,2021-02-17,95.0,Extreme Greed,52149.0078125,80820545404,Greed"
"1113,2021-02-18,91.0,Extreme Greed,51679.796875,52054723579,Greed"
"1114,2021-02-19,93.0,Extreme Greed,55888.1328125,63495496918,Greed"
"1115,2021-02-20,91.0,Extreme Greed,56099.51953125,68145460026,Greed"
"1116,2021-02-21,91.0,Extreme Greed,57539.9453125,51897585191,Greed"
"1117,2021-02-22,94.0,Extreme Greed,54207.3203125,92052420332,Greed"
"1118,2021-02-23,94.0,Extreme Greed,48824.42578125,106102492824,Greed"
"1119,2021-02-24,76.0,Extreme Greed,49705.33203125,63695521388,Greed"
"1120,2021-02-25,79.0,Extreme Greed,47093.8515625,54506565949,Greed"
"1121,2021-02-26,55.0,Greed,46339.76171875,350967941479,Greed"
"1122,2021-02-27,56.0,Greed,46188.453125,45910946382,Greed"
"1123,2021-02-28,55.0,Greed,45137.76953125,53443887451,Greed"
"1124,2021-03-01,38.0,Fear,49631.2421875,53891300112,Fear"
"1125,2021-03-02,78.0,Extreme Greed,48378.98828125,47530897720,Greed"
"1126,2021-03-03,78.0,Extreme Greed,50538.2421875,53220811975,Greed"
"1127,2021-03-04,84.0,Extreme Greed,48561.16796875,52343816680,Greed"
"1128,2021-03-05,77.0,Extreme Greed,48927.3046875,48625928883,Greed"
"1129,2021-03-06,77.0,Extreme Greed,48912.3828125,34363564661,Greed"
"1130,2021-03-07,76.0,Extreme Greed,51206.69140625,43137459378,Greed"
"1131,2021-03-08,81.0,Extreme Greed,52246.5234375,48597428048,Greed"
"1132,2021-03-09,81.0,Extreme Greed,54824.1171875,50912227385,Greed"
"1133,2021-03-10,68.0,Greed,56008.55078125,57295577614,Greed"
"1134,2021-03-11,73.0,Greed,57805.12109375,56772343595,Greed"
"1135,2021-03-12,70.0,Greed,57332.08984375,55689944702,Greed"
"1136,2021-03-13,74.0,Greed,61243.0859375,60669829814,Greed"
"1137,2021-03-14,78.0,Extreme Greed,59302.31640625,43901225564,Greed"
"1138,2021-03-15,76.0,Extreme Greed,55907.19921875,66419369890,Greed"
"1139,2021-03-16,71.0,Greed,56804.90234375,59749798599,Greed"
"1140,2021-03-17,71.0,Greed,58870.89453125,60258313191,Greed"
"1141,2021-03-18,72.0,Greed,57858.921875,55746041000,Greed"
"1142,2021-03-19,71.0,Greed,58346.65234375,49063873786,Greed"
"1143,2021-03-20,75.0,Greed,58313.64453125,50361731222,Greed"
"1144,2021-03-21,73.0,Greed,57523.421875,51943414539,Greed"
"1145,2021-03-22,70.0,Greed,54529.14453125,56521454974,Greed"
"1146,2021-03-23,66.0,Greed,54738.9453125,56435023914,Greed"
"1147,2021-03-24,65.0,Greed,52774.265625,70567223787,Greed"
